Score-Band,Count
1.0,41
1.25,41
1.5,31
1.75,17
2.0,23
2.25,25
2.5,19
2.75,17
3.0,15
3.25,19
3.5,8
3.75,12
4.0,7
4.25,7
4.5,4
4.75,2
5.0,1
