Narrative,Consistency,Enjoy,Response,Sense,Average
0,1.476,2.238,1.952,1.476,1.786
1,1.25,1.75,1.6,1.35,1.488
2,1.35,1.65,1.95,1.45,1.6
3,1.412,1.882,1.941,1.706,1.735
4,1.667,2.222,2.5,1.833,2.056
