Narrative,Consistency,Enjoy,Response,Sense,Average
0,2.5,2.8,3.8,2.5,2.9
1,2.875,3.25,3.375,3.125,3.156
2,2.4,2.7,3.0,2.6,2.675
3,2.833,2.917,3.833,2.667,3.062
4,1.636,2.182,2.909,1.818,2.136
