Narrative,Count,Consistency,Enjoy,Response,Sense,Average
0,47,1.851,2.319,2.638,1.787,2.149
1,46,1.717,2.109,2.174,1.783,1.946
2,47,1.681,2.0,2.234,1.766,1.92
3,49,1.959,2.469,2.571,2.061,2.265
4,51,1.549,2.118,2.471,1.745,1.971
