Band,Value
600,3.0
800,3.1607142857142856
1000,3.4107142857142856
1200,3.216666666666667
1400,3.3181818181818183
1600,3.15625
1800,3.5
2200,3.0
2400,3.25
2600,3.25
2800,3.0
3000,3.25
3400,3.25
5800,3.8333333333333335
