Band,Value
600,2.5
800,2.3392857142857144
1000,2.2933333333333334
1200,2.01
1400,2.385869565217391
1600,1.8012820512820513
1800,1.45
2000,1.375
2200,2.25
2400,2.3035714285714284
2600,2.0
2800,3.0
3000,2.6666666666666665
3400,2.75
5800,3.8333333333333335
