Band,Value
600,3.5
800,3.4444444444444446
1000,3.6785714285714284
1200,3.611111111111111
1400,3.6166666666666667
1600,3.8125
1800,3.5
2200,3.5
2400,3.625
2600,3.25
2800,3.0833333333333335
3000,3.75
3400,3.25
5800,3.8333333333333335
