Narrative,Consistency,Enjoy,Response,Sense,Average
0,1.938,2.125,2.812,1.75,2.156
1,1.722,2.0,2.278,1.667,1.917
2,1.647,2.0,2.118,1.647,1.853
3,1.9,2.7,2.35,2.0,2.237
4,1.409,2.0,2.227,1.636,1.818
