narrative,consistency,enjoy,response,sense,all_average
0,1.8888888888888888,2.2222222222222223,2.5555555555555554,1.6666666666666667,2.0833333333333335
1,1.75,1.875,2.125,1.625,1.84375
2,2.125,2.5,2.5,2.125,2.3125
3,1.5454545454545454,2.3636363636363638,2.3636363636363638,1.7272727272727273,2.0
4,1.5,2.1666666666666665,2.4166666666666665,1.9166666666666667,2.0
