narrative,consistency,enjoy,response,sense,all_average
0,1.5,2.1,2.0,1.5,1.775
1,1.0,1.6,1.7,1.1,1.35
2,1.4545454545454546,1.8181818181818181,1.9090909090909092,1.5454545454545454,1.6818181818181819
3,1.4444444444444444,2.0,1.8888888888888888,1.7777777777777777,1.7777777777777777
4,1.6666666666666667,2.111111111111111,2.6666666666666665,2.0,2.111111111111111
